Error category;Error type;Severity;Source Text;Target Text;Suggested Target Text
;;;посмотри на Джулию она выглядит гораздо счастливее сейчас;Regarde Julia, elle semble beaucoup plus heureuse maintenant.;
Accuracy;Mistranslation;Critical;воля вера внимание;Attention;volonté foi attention
;;;воля вера внимание;volonté foi attention;
Accuracy;Mistranslation;Critical;;Que fait-elle et comment;Comment ça va et que
Accuracy;Mistranslation;Major;до свидания спасибо;je vous remercie vraiment;au revoir, merci
;;;гид нам обещал зону беспошлинной торговли;le guide nous a promis une zone franche.;
;;;утконос;l'ornithorynque;
;;;хорошие оценки;bonnes notes;
Accuracy;Mistranslation;Major;как тебя зовут;quel est ton nom;quel est ton prénom
Fluency;Grammar;Major;он ещё требуют доработок;il faut encore améliorer;il faut encore l'améliorer
Fluency;Grammatical register;Minor;что вы завтра будете делать;que vas-tu faire demain;que ferez-vous demain
Accuracy;Over-translation;Major;филармония;société de philharmonie;philharmonie
Accuracy;Over-translation;Major;филармония;compagnie philharmonique;philharmonie
Accuracy;Improper exact TM match;Major;где живёт Андрей Петрович;où vit Andreï Petrovitch;où habite Andreï Petrovitch
Accuracy;Omission;Major;то Яна я кому разговариваю;C'est Yana, c'est qui;C'est Yana, à qui je parle
Fluency;Grammar;Major;ну секс был конечно с другими мужчинами но это было не скажу тебе что я часто переходила от одного мужчины к другому;Bien sûr, j'ai eu des relations avec d'autres hommes, mais je ne peux pas dire que je les changer souvent;Bien sûr, j'ai eu des relations avec d'autres hommes, mais je ne peux pas dire que je les change souvent
Fluency;Grammar;Major;ну секс был конечно с другими мужчинами но это было не скажу тебе что я часто переходила от одного мужчины к другому;Bien sûr,ₒj'ai eu d'autres hommes, mais je ne peux pas dire que je les changer souvent;Bien sûr, j'ai eu d'autres hommes, mais je ne peux pas dire que je les change souvent
;;;майор пэйн;Major Payne;duplicate translation
Accuracy;Mistranslation;Major;вчера я катался на лыжах;Hier, j'étais au ski.;hier, je faisais du ski.
Accuracy;Mistranslation;Critical;мы должны какие-то деньги вам;nous vous devons de l'argent;vous nous devez de l'argent
Accuracy;Over-translation;Minor;Влад;Vladimir;Vlad
;Mistranslation;Major;Я очень Рада что открыла страничку и находишься у меня;Cela me fait plaisir que tu as ouvert la page et a pris la décision de la regarder.;Cela me fait plaisir que tu as ouvert la page et a pris la décision de me visiter.
;;;С утра с самого на ногах проснулся и поехал;Dès le matin, je me suis debout, je me suis réveillé et je suis parti;
